source,target,year
5973,PV21  ,2019
5974,PV21  ,2020
5975,PV21  ,2021
5976,PV22  ,2010
5977,PV22  ,2011
5978,PV22  ,2012
5979,PV22  ,2013
5980,PV22  ,2014
5981,PV22  ,2015
5982,PV22  ,2016
5983,PV22  ,2017
5984,PV22  ,2018
5985,PV22  ,2019
5986,PV22  ,2020
5987,PV22  ,2021
5988,PV23  ,2010
5989,PV23  ,2011
5990,PV23  ,2012
5991,PV23  ,2013
5992,PV23  ,2014
5993,PV23  ,2015
5994,PV23  ,2016
5995,PV23  ,2017
5996,PV23  ,2018
5997,PV23  ,2019
5998,PV23  ,2020
5999,PV23  ,2021
6000,PV24  ,2010
6001,PV24  ,2011
6002,PV24  ,2012
6003,PV24  ,2013
6004,PV24  ,2014
6005,PV24  ,2015
6006,PV24  ,2016
6007,PV24  ,2017
6008,PV24  ,2018
6009,PV24  ,2019
6010,PV24  ,2020
6011,PV24  ,2021
6012,PV25  ,2010
6013,PV25  ,2011
6014,PV25  ,2012
6015,PV25  ,2013
6016,PV25  ,2014
6017,PV25  ,2015
6018,PV25  ,2016
6019,PV25  ,2017
6020,PV25  ,2018
6021,PV25  ,2019
6022,PV25  ,2020
6023,PV25  ,2021
6024,PV26  ,2010
6025,PV26  ,2011
6026,PV26  ,2012
6027,PV26  ,2013
6028,PV26  ,2014
6029,PV26  ,2015
6030,PV26  ,2016
6031,PV26  ,2017
6032,PV26  ,2018
6033,PV26  ,2019
6034,PV26  ,2020
6035,PV26  ,2021
6036,PV27  ,2010
6037,PV27  ,2011
6038,PV27  ,2012
6039,PV27  ,2013
6040,PV27  ,2014
6041,PV27  ,2015
6042,PV27  ,2016
6043,PV27  ,2017
6044,PV27  ,2018
6045,PV27  ,2019
6046,PV27  ,2020
6047,PV27  ,2021
6048,PV28  ,2010
6049,PV28  ,2011
6050,PV28  ,2012
6051,PV28  ,2013
6052,PV28  ,2014
6053,PV28  ,2015
6054,PV28  ,2016
6055,PV28  ,2017
6056,PV28  ,2018
6057,PV28  ,2019
6058,PV28  ,2020
6059,PV28  ,2021
6060,PV29  ,2010
6061,PV29  ,2011
6062,PV29  ,2012
6063,PV29  ,2013
6064,PV29  ,2014
6065,PV29  ,2015
6066,PV29  ,2016
6067,PV29  ,2017
6068,PV29  ,2018
6069,PV29  ,2019
6070,PV29  ,2020
6071,PV29  ,2021
6072,PV30  ,2010
6073,PV30  ,2011
6074,PV30  ,2012
6075,PV30  ,2013
6076,PV30  ,2014
6077,PV30  ,2015
6078,PV30  ,2016
6079,PV30  ,2017
6080,PV30  ,2018
6081,PV30  ,2019
6082,PV30  ,2020
6083,PV30  ,2021
6084,PV31  ,2010
6085,PV31  ,2011
6086,PV31  ,2012
6087,PV31  ,2013
6088,PV31  ,2014
6089,PV31  ,2015
6090,PV31  ,2016
6091,PV31  ,2017
6092,PV31  ,2018
6093,PV31  ,2019
6094,PV31  ,2020
6095,PV31  ,2021
6096,PV99  ,2010
6097,PV99  ,2011
6098,PV99  ,2012
6099,PV99  ,2013
6100,PV99  ,2014
6101,PV99  ,2015
6102,PV99  ,2016
6103,PV99  ,2017
6104,PV99  ,2018
6105,PV99  ,2019
6106,PV99  ,2020
6107,PV99  ,2021
6108,GM1680,2010
6109,GM1680,2011
6110,GM1680,2012
6111,GM1680,2013
6112,GM1680,2014
6113,GM1680,2015
6114,GM1680,2016
6115,GM1680,2017
6116,GM1680,2018
6117,GM1680,2019
6118,GM1680,2020
6119,GM1680,2021
6120,GM0738,2010
6121,GM0738,2011
6122,GM0738,2012
6123,GM0738,2013
6124,GM0738,2014
6125,GM0738,2015
6126,GM0738,2016
6127,GM0738,2017
6128,GM0738,2018
6129,GM0738,2019
6130,GM0738,2020
6131,GM0738,2021
6132,GM0358,2010
6133,GM0358,2011
6134,GM0358,2012
6135,GM0358,2013
6136,GM0358,2014
6137,GM0358,2015
6138,GM0358,2016
6139,GM0358,2017
6140,GM0358,2018
6141,GM0358,2019
6142,GM0358,2020
6143,GM0358,2021
6144,GM0197,2010
6145,GM0197,2011
6146,GM0197,2012
6147,GM0197,2013
6148,GM0197,2014
6149,GM0197,2015
6150,GM0197,2016
6151,GM0197,2017
6152,GM0197,2018
6153,GM0197,2019
6154,GM0197,2020
6155,GM0197,2021
6156,GM0305,2010
6157,GM0305,2011
6158,GM0305,2012
6159,GM0305,2013
6160,GM0305,2014
6161,GM0305,2015
6162,GM0305,2016
6163,GM0305,2017
6164,GM0305,2018
6165,GM0305,2019
6166,GM0305,2020
6167,GM0305,2021
6168,GM0059,2010
6169,GM0059,2011
6170,GM0059,2012
6171,GM0059,2013
6172,GM0059,2014
6173,GM0059,2015
6174,GM0059,2016
6175,GM0059,2017
6176,GM0059,2018
6177,GM0059,2019
6178,GM0059,2020
6179,GM0059,2021
6180,GM0482,2010
6181,GM0482,2011
6182,GM0482,2012
6183,GM0482,2013
6184,GM0482,2014
6185,GM0482,2015
6186,GM0482,2016
6187,GM0482,2017
6188,GM0482,2018
6189,GM0482,2019
6190,GM0482,2020
6191,GM0482,2021
6192,GM0613,2010
6193,GM0613,2011
6194,GM0613,2012
6195,GM0613,2013
6196,GM0613,2014
6197,GM0613,2015
6198,GM0613,2016
6199,GM0613,2017
6200,GM0613,2018
6201,GM0613,2019
6202,GM0613,2020
6203,GM0613,2021
6204,GM0361,2010
6205,GM0361,2011
6206,GM0361,2012
6207,GM0361,2013
6208,GM0361,2014
6209,GM0361,2015
6210,GM0361,2016
6211,GM0361,2017
6212,GM0361,2018
6213,GM0361,2019
6214,GM0361,2020
6215,GM0361,2021
6216,GM0141,2010
6217,GM0141,2011
6218,GM0141,2012
6219,GM0141,2013
6220,GM0141,2014
6221,GM0141,2015
6222,GM0141,2016
6223,GM0141,2017
6224,GM0141,2018
6225,GM0141,2019
6226,GM0141,2020
6227,GM0141,2021
6228,GM0034,2010
6229,GM0034,2011
6230,GM0034,2012
6231,GM0034,2013
6232,GM0034,2014
6233,GM0034,2015
6234,GM0034,2016
6235,GM0034,2017
6236,GM0034,2018
6237,GM0034,2019
6238,GM0034,2020
6239,GM0034,2021
6240,GM0484,2010
6241,GM0484,2011
6242,GM0484,2012
6243,GM0484,2013
6244,GM0484,2014
6245,GM0484,2015
6246,GM0484,2016
6247,GM0484,2017
6248,GM0484,2018
6249,GM0484,2019
6250,GM0484,2020
6251,GM0484,2021
6252,GM1723,2010
6253,GM1723,2011
6254,GM1723,2012
6255,GM1723,2013
6256,GM1723,2014
6257,GM1723,2015
6258,GM1723,2016
6259,GM1723,2017
6260,GM1723,2018
6261,GM1723,2019
6262,GM1723,2020
6263,GM1723,2021
6264,GM1959,2010
6265,GM1959,2011
6266,GM1959,2012
6267,GM1959,2013
6268,GM1959,2014
6269,GM1959,2015
6270,GM1959,2016
6271,GM1959,2017
6272,GM1959,2018
6273,GM1959,2019
6274,GM1959,2020
6275,GM1959,2021
6276,GM0060,2010
6277,GM0060,2011
6278,GM0060,2012
6279,GM0060,2013
6280,GM0060,2014
6281,GM0060,2015
6282,GM0060,2016
6283,GM0060,2017
6284,GM0060,2018
6285,GM0060,2019
6286,GM0060,2020
6287,GM0060,2021
6288,GM0307,2010
6289,GM0307,2011
6290,GM0307,2012
6291,GM0307,2013
6292,GM0307,2014
6293,GM0307,2015
6294,GM0307,2016
6295,GM0307,2017
6296,GM0307,2018
6297,GM0307,2019
6298,GM0307,2020
6299,GM0307,2021
6300,GM0362,2010
6301,GM0362,2011
6302,GM0362,2012
6303,GM0362,2013
6304,GM0362,2014
6305,GM0362,2015
6306,GM0362,2016
6307,GM0362,2017
6308,GM0362,2018
6309,GM0362,2019
6310,GM0362,2020
6311,GM0362,2021
6312,GM0363,2010
6313,GM0363,2011
6314,GM0363,2012
6315,GM0363,2013
6316,GM0363,2014
6317,GM0363,2015
6318,GM0363,2016
6319,GM0363,2017
6320,GM0363,2018
6321,GM0363,2019
6322,GM0363,2020
6323,GM0363,2021
6324,GM0364,2010
6325,GM0364,2011
6326,GM0364,2012
6327,GM0364,2013
6328,GM0364,2014
6329,GM0364,2015
6330,GM0364,2016
6331,GM0364,2017
6332,GM0364,2018
6333,GM0364,2019
6334,GM0364,2020
6335,GM0364,2021
6336,GM0366,2010
6337,GM0366,2011
6338,GM0366,2012
6339,GM0366,2013
6340,GM0366,2014
6341,GM0366,2015
6342,GM0366,2016
6343,GM0366,2017
6344,GM0366,2018
6345,GM0366,2019
6346,GM0366,2020
6347,GM0366,2021
6348,GM0200,2010
6349,GM0200,2011
6350,GM0200,2012
6351,GM0200,2013
6352,GM0200,2014
6353,GM0200,2015
6354,GM0200,2016
6355,GM0200,2017
6356,GM0200,2018
6357,GM0200,2019
6358,GM0200,2020
6359,GM0200,2021
6360,GM0003,2010
6361,GM0003,2011
6362,GM0003,2012
6363,GM0003,2013
6364,GM0003,2014
6365,GM0003,2015
6366,GM0003,2016
6367,GM0003,2017
6368,GM0003,2018
6369,GM0003,2019
6370,GM0003,2020
6371,GM0003,2021
6372,GM0202,2010
6373,GM0202,2011
6374,GM0202,2012
6375,GM0202,2013
6376,GM0202,2014
6377,GM0202,2015
6378,GM0202,2016
6379,GM0202,2017
6380,GM0202,2018
6381,GM0202,2019
6382,GM0202,2020
6383,GM0202,2021
6384,GM0106,2010
6385,GM0106,2011
6386,GM0106,2012
6387,GM0106,2013
6388,GM0106,2014
6389,GM0106,2015
6390,GM0106,2016
6391,GM0106,2017
6392,GM0106,2018
6393,GM0106,2019
6394,GM0106,2020
6395,GM0106,2021
6396,GM0743,2010
6397,GM0743,2011
6398,GM0743,2012
6399,GM0743,2013
6400,GM0743,2014
6401,GM0743,2015
6402,GM0743,2016
6403,GM0743,2017
6404,GM0743,2018
6405,GM0743,2019
6406,GM0743,2020
6407,GM0743,2021
6408,GM0744,2010
6409,GM0744,2011
6410,GM0744,2012
6411,GM0744,2013
6412,GM0744,2014
6413,GM0744,2015
6414,GM0744,2016
6415,GM0744,2017
6416,GM0744,2018
6417,GM0744,2019
6418,GM0744,2020
6419,GM0744,2021
6420,GM0308,2010
6421,GM0308,2011
6422,GM0308,2012
6423,GM0308,2013
6424,GM0308,2014
6425,GM0308,2015
6426,GM0308,2016
6427,GM0308,2017
6428,GM0308,2018
6429,GM0308,2019
6430,GM0308,2020
6431,GM0308,2021
6432,GM0489,2010
6433,GM0489,2011
6434,GM0489,2012
6435,GM0489,2013
6436,GM0489,2014
6437,GM0489,2015
6438,GM0489,2016
6439,GM0489,2017
6440,GM0489,2018
6441,GM0489,2019
6442,GM0489,2020
6443,GM0489,2021
6444,GM0203,2010
6445,GM0203,2011
6446,GM0203,2012
6447,GM0203,2013
6448,GM0203,2014
6449,GM0203,2015
6450,GM0203,2016
6451,GM0203,2017
6452,GM0203,2018
6453,GM0203,2019
6454,GM0203,2020
6455,GM0203,2021
6456,GM0005,2010
6457,GM0005,2011
6458,GM0005,2012
6459,GM0005,2013
6460,GM0005,2014
6461,GM0005,2015
6462,GM0005,2016
6463,GM0005,2017
6464,GM0005,2018
6465,GM0005,2019
6466,GM0005,2020
6467,GM0005,2021
6468,GM0888,2010
6469,GM0888,2011
6470,GM0888,2012
6471,GM0888,2013
6472,GM0888,2014
6473,GM0888,2015
6474,GM0888,2016
6475,GM0888,2017
6476,GM0888,2018
6477,GM0888,2019
6478,GM0888,2020
6479,GM0888,2021
6480,GM1954,2010
6481,GM1954,2011
6482,GM1954,2012
6483,GM1954,2013
6484,GM1954,2014
6485,GM1954,2015
6486,GM1954,2016
6487,GM1954,2017
6488,GM1954,2018
6489,GM1954,2019
6490,GM1954,2020
6491,GM1954,2021
6492,GM0370,2010
6493,GM0370,2011
6494,GM0370,2012
6495,GM0370,2013
6496,GM0370,2014
6497,GM0370,2015
6498,GM0370,2016
6499,GM0370,2017
6500,GM0370,2018
6501,GM0370,2019
6502,GM0370,2020
6503,GM0370,2021
6504,GM0889,2010
6505,GM0889,2011
6506,GM0889,2012
6507,GM0889,2013
6508,GM0889,2014
6509,GM0889,2015
6510,GM0889,2016
6511,GM0889,2017
6512,GM0889,2018
6513,GM0889,2019
6514,GM0889,2020
6515,GM0889,2021
6516,GM0007,2010
6517,GM0007,2011
6518,GM0007,2012
6519,GM0007,2013
6520,GM0007,2014
6521,GM0007,2015
6522,GM0007,2016
6523,GM0007,2017
6524,GM0007,2018
6525,GM0007,2019
6526,GM0007,2020
6527,GM0007,2021
6528,GM1945,2010
6529,GM1945,2011
6530,GM1945,2012
6531,GM1945,2013
6532,GM1945,2014
6533,GM1945,2015
6534,GM1945,2016
6535,GM1945,2017
6536,GM1945,2018
6537,GM1945,2019
6538,GM1945,2020
6539,GM1945,2021
6540,GM0491,2010
6541,GM0491,2011
6542,GM0491,2012
6543,GM0491,2013
6544,GM0491,2014
6545,GM0491,2015
6546,GM0491,2016
6547,GM0491,2017
6548,GM0491,2018
6549,GM0491,2019
6550,GM0491,2020
6551,GM0491,2021
6552,GM1724,2010
6553,GM1724,2011
6554,GM1724,2012
6555,GM1724,2013
6556,GM1724,2014
6557,GM1724,2015
6558,GM1724,2016
6559,GM1724,2017
6560,GM1724,2018
6561,GM1724,2019
6562,GM1724,2020
6563,GM1724,2021
6564,GM0893,2010
6565,GM0893,2011
6566,GM0893,2012
6567,GM0893,2013
6568,GM0893,2014
6569,GM0893,2015
6570,GM0893,2016
6571,GM0893,2017
6572,GM0893,2018
6573,GM0893,2019
6574,GM0893,2020
6575,GM0893,2021
6576,GM0373,2010
6577,GM0373,2011
6578,GM0373,2012
6579,GM0373,2013
6580,GM0373,2014
6581,GM0373,2015
6582,GM0373,2016
6583,GM0373,2017
6584,GM0373,2018
6585,GM0373,2019
6586,GM0373,2020
6587,GM0373,2021
6588,GM0748,2010
6589,GM0748,2011
6590,GM0748,2012
6591,GM0748,2013
6592,GM0748,2014
6593,GM0748,2015
6594,GM0748,2016
6595,GM0748,2017
6596,GM0748,2018
6597,GM0748,2019
6598,GM0748,2020
6599,GM0748,2021
6600,GM1859,2010
6601,GM1859,2011
6602,GM1859,2012
6603,GM1859,2013
6604,GM1859,2014
6605,GM1859,2015
6606,GM1859,2016
6607,GM1859,2017
6608,GM1859,2018
6609,GM1859,2019
6610,GM1859,2020
6611,GM1859,2021
6612,GM1721,2010
6613,GM1721,2011
6614,GM1721,2012
6615,GM1721,2013
6616,GM1721,2014
6617,GM1721,2015
6618,GM1721,2016
6619,GM1721,2017
6620,GM1721,2018
6621,GM1721,2019
6622,GM1721,2020
6623,GM1721,2021
6624,GM0568,2010
6625,GM0568,2011
6626,GM0568,2012
6627,GM0568,2013
6628,GM0568,2014
6629,GM0568,2015
6630,GM0568,2016
6631,GM0568,2017
6632,GM0568,2018
6633,GM0568,2019
6634,GM0568,2020
6635,GM0568,2021
6636,GM0753,2010
6637,GM0753,2011
6638,GM0753,2012
6639,GM0753,2013
6640,GM0753,2014
6641,GM0753,2015
6642,GM0753,2016
6643,GM0753,2017
6644,GM0753,2018
6645,GM0753,2019
6646,GM0753,2020
6647,GM0753,2021
6648,GM0209,2010
6649,GM0209,2011
6650,GM0209,2012
6651,GM0209,2013
6652,GM0209,2014
6653,GM0209,2015
6654,GM0209,2016
6655,GM0209,2017
6656,GM0209,2018
6657,GM0209,2019
6658,GM0209,2020
6659,GM0209,2021
6660,GM0375,2010
6661,GM0375,2011
6662,GM0375,2012
6663,GM0375,2013
6664,GM0375,2014
6665,GM0375,2015
6666,GM0375,2016
6667,GM0375,2017
6668,GM0375,2018
6669,GM0375,2019
6670,GM0375,2020
6671,GM0375,2021
6672,GM0063,2010
6673,GM0063,2011
6674,GM0063,2012
6675,GM0063,2013
6676,GM0063,2014
6677,GM0063,2015
6678,GM0063,2016
6679,GM0063,2017
6680,GM0063,2018
6681,GM0063,2019
6682,GM0063,2020
6683,GM0063,2021
6684,GM0310,2010
6685,GM0310,2011
6686,GM0310,2012
6687,GM0310,2013
6688,GM0310,2014
6689,GM0310,2015
6690,GM0310,2016
6691,GM0310,2017
6692,GM0310,2018
6693,GM0310,2019
6694,GM0310,2020
6695,GM0310,2021
6696,GM0585,2010
6697,GM0585,2011
6698,GM0585,2012
6699,GM0585,2013
6700,GM0585,2014
6701,GM0585,2015
6702,GM0585,2016
6703,GM0585,2017
6704,GM0585,2018
6705,GM0585,2019
6706,GM0585,2020
6707,GM0585,2021
6708,GM1728,2010
6709,GM1728,2011
6710,GM1728,2012
6711,GM1728,2013
6712,GM1728,2014
6713,GM1728,2015
6714,GM1728,2016
6715,GM1728,2017
6716,GM1728,2018
6717,GM1728,2019
6718,GM1728,2020
6719,GM1728,2021
6720,GM0376,2010
6721,GM0376,2011
6722,GM0376,2012
6723,GM0376,2013
6724,GM0376,2014
6725,GM0376,2015
6726,GM0376,2016
6727,GM0376,2017
6728,GM0376,2018
6729,GM0376,2019
6730,GM0376,2020
6731,GM0376,2021
6732,GM0377,2010
6733,GM0377,2011
6734,GM0377,2012
6735,GM0377,2013
6736,GM0377,2014
6737,GM0377,2015
6738,GM0377,2016
6739,GM0377,2017
6740,GM0377,2018
6741,GM0377,2019
6742,GM0377,2020
6743,GM0377,2021
6744,GM0055,2010
6745,GM0055,2011
6746,GM0055,2012
6747,GM0055,2013
6748,GM0055,2014
6749,GM0055,2015
6750,GM0055,2016
6751,GM0055,2017
6752,GM0055,2018
6753,GM0055,2019
6754,GM0055,2020
6755,GM0055,2021
6756,GM0497,2010
6757,GM0497,2011
6758,GM0497,2012
6759,GM0497,2013
6760,GM0497,2014
6761,GM0497,2015
6762,GM0497,2016
6763,GM0497,2017
6764,GM0497,2018
6765,GM0497,2019
6766,GM0497,2020
6767,GM0497,2021
6768,GM1901,2010
6769,GM1901,2011
6770,GM1901,2012
6771,GM1901,2013
6772,GM1901,2014
6773,GM1901,2015
6774,GM1901,2016
6775,GM1901,2017
6776,GM1901,2018
6777,GM1901,2019
6778,GM1901,2020
6779,GM1901,2021
6780,GM0755,2010
6781,GM0755,2011
6782,GM0755,2012
6783,GM0755,2013
6784,GM0755,2014
6785,GM0755,2015
6786,GM0755,2016
6787,GM0755,2017
6788,GM0755,2018
6789,GM0755,2019
6790,GM0755,2020
6791,GM0755,2021
6792,GM0009,2010
6793,GM0009,2011
6794,GM0009,2012
6795,GM0009,2013
6796,GM0009,2014
6797,GM0009,2015
6798,GM0009,2016
6799,GM0009,2017
6800,GM0009,2018
6801,GM0009,2019
6802,GM0009,2020
6803,GM0009,2021
6804,GM0064,2010
6805,GM0064,2011
6806,GM0064,2012
6807,GM0064,2013
6808,GM0064,2014
6809,GM0064,2015
6810,GM0064,2016
6811,GM0064,2017
6812,GM0064,2018
6813,GM0064,2019
6814,GM0064,2020
6815,GM0064,2021
6816,GM1681,2010
6817,GM1681,2011
6818,GM1681,2012
6819,GM1681,2013
6820,GM1681,2014
6821,GM1681,2015
6822,GM1681,2016
6823,GM1681,2017
6824,GM1681,2018
6825,GM1681,2019
6826,GM1681,2020
6827,GM1681,2021
6828,GM0147,2010
6829,GM0147,2011
6830,GM0147,2012
6831,GM0147,2013
6832,GM0147,2014
6833,GM0147,2015
6834,GM0147,2016
6835,GM0147,2017
6836,GM0147,2018
6837,GM0147,2019
6838,GM0147,2020
6839,GM0147,2021
6840,GM0654,2010
6841,GM0654,2011
6842,GM0654,2012
6843,GM0654,2013
6844,GM0654,2014
6845,GM0654,2015
6846,GM0654,2016
6847,GM0654,2017
6848,GM0654,2018
6849,GM0654,2019
6850,GM0654,2020
6851,GM0654,2021
6852,GM0499,2010
6853,GM0499,2011
6854,GM0499,2012
6855,GM0499,2013
6856,GM0499,2014
6857,GM0499,2015
6858,GM0499,2016
6859,GM0499,2017
6860,GM0499,2018
6861,GM0499,2019
6862,GM0499,2020
6863,GM0499,2021
6864,GM0756,2010
6865,GM0756,2011
6866,GM0756,2012
6867,GM0756,2013
6868,GM0756,2014
6869,GM0756,2015
6870,GM0756,2016
6871,GM0756,2017
6872,GM0756,2018
6873,GM0756,2019
6874,GM0756,2020
6875,GM0756,2021
6876,GM0757,2010
6877,GM0757,2011
6878,GM0757,2012
6879,GM0757,2013
6880,GM0757,2014
6881,GM0757,2015
6882,GM0757,2016
6883,GM0757,2017
6884,GM0757,2018
6885,GM0757,2019
6886,GM0757,2020
6887,GM0757,2021
6888,GM0758,2010
6889,GM0758,2011
6890,GM0758,2012
6891,GM0758,2013
6892,GM0758,2014
6893,GM0758,2015
6894,GM0758,2016
6895,GM0758,2017
6896,GM0758,2018
6897,GM0758,2019
6898,GM0758,2020
6899,GM0758,2021
6900,GM0311,2010
6901,GM0311,2011
6902,GM0311,2012
6903,GM0311,2013
6904,GM0311,2014
6905,GM0311,2015
6906,GM0311,2016
6907,GM0311,2017
6908,GM0311,2018
6909,GM0311,2019
6910,GM0311,2020
6911,GM0311,2021
6912,GM0501,2010
6913,GM0501,2011
6914,GM0501,2012
6915,GM0501,2013
6916,GM0501,2014
6917,GM0501,2015
6918,GM0501,2016
6919,GM0501,2017
6920,GM0501,2018
6921,GM0501,2019
6922,GM0501,2020
6923,GM0501,2021
6924,GM1876,2010
6925,GM1876,2011
6926,GM1876,2012
6927,GM1876,2013
6928,GM1876,2014
6929,GM1876,2015
6930,GM1876,2016
6931,GM1876,2017
6932,GM1876,2018
6933,GM1876,2019
6934,GM1876,2020
6935,GM1876,2021
6936,GM0213,2010
6937,GM0213,2011
6938,GM0213,2012
6939,GM0213,2013
6940,GM0213,2014
6941,GM0213,2015
6942,GM0213,2016
6943,GM0213,2017
6944,GM0213,2018
6945,GM0213,2019
6946,GM0213,2020
6947,GM0213,2021
6948,GM0899,2010
6949,GM0899,2011
6950,GM0899,2012
6951,GM0899,2013
6952,GM0899,2014
6953,GM0899,2015
6954,GM0899,2016
6955,GM0899,2017
6956,GM0899,2018
6957,GM0899,2019
6958,GM0899,2020
6959,GM0899,2021
6960,GM0312,2010
6961,GM0312,2011
6962,GM0312,2012
6963,GM0312,2013
6964,GM0312,2014
6965,GM0312,2015
6966,GM0312,2016
6967,GM0312,2017
6968,GM0312,2018
6969,GM0312,2019
6970,GM0312,2020
6971,GM0312,2021
6972,GM0313,2010
6973,GM0313,2011
6974,GM0313,2012
6975,GM0313,2013
6976,GM0313,2014
6977,GM0313,2015
6978,GM0313,2016
6979,GM0313,2017
6980,GM0313,2018
6981,GM0313,2019
6982,GM0313,2020
6983,GM0313,2021
6984,GM0214,2010
6985,GM0214,2011
6986,GM0214,2012
6987,GM0214,2013
6988,GM0214,2014
6989,GM0214,2015
6990,GM0214,2016
6991,GM0214,2017
6992,GM0214,2018
6993,GM0214,2019
6994,GM0214,2020
6995,GM0214,2021
6996,GM0381,2010
6997,GM0381,2011
6998,GM0381,2012
6999,GM0381,2013
7000,GM0381,2014
7001,GM0381,2015
7002,GM0381,2016
7003,GM0381,2017
7004,GM0381,2018
7005,GM0381,2019
7006,GM0381,2020
7007,GM0381,2021
7008,GM0502,2010
7009,GM0502,2011
7010,GM0502,2012
7011,GM0502,2013
7012,GM0502,2014
7013,GM0502,2015
7014,GM0502,2016
7015,GM0502,2017
7016,GM0502,2018
7017,GM0502,2019
7018,GM0502,2020
7019,GM0502,2021
7020,GM0383,2010
7021,GM0383,2011
7022,GM0383,2012
7023,GM0383,2013
7024,GM0383,2014
7025,GM0383,2015
7026,GM0383,2016
7027,GM0383,2017
7028,GM0383,2018
7029,GM0383,2019
7030,GM0383,2020
7031,GM0383,2021
7032,GM0109,2010
7033,GM0109,2011
7034,GM0109,2012
7035,GM0109,2013
7036,GM0109,2014
7037,GM0109,2015
7038,GM0109,2016
7039,GM0109,2017
7040,GM0109,2018
7041,GM0109,2019
7042,GM0109,2020
7043,GM0109,2021
7044,GM1706,2010
7045,GM1706,2011
7046,GM1706,2012
7047,GM1706,2013
7048,GM1706,2014
7049,GM1706,2015
7050,GM1706,2016
7051,GM1706,2017
7052,GM1706,2018
7053,GM1706,2019
7054,GM1706,2020
7055,GM1706,2021
7056,GM0611,2010
7057,GM0611,2011
7058,GM0611,2012
7059,GM0611,2013
7060,GM0611,2014
7061,GM0611,2015
7062,GM0611,2016
7063,GM0611,2017
7064,GM0611,2018
7065,GM0611,2019
7066,GM0611,2020
7067,GM0611,2021
7068,GM1684,2010
7069,GM1684,2011
7070,GM1684,2012
7071,GM1684,2013
7072,GM1684,2014
7073,GM1684,2015
7074,GM1684,2016
7075,GM1684,2017
7076,GM1684,2018
7077,GM1684,2019
7078,GM1684,2020
7079,GM1684,2021
7080,GM0216,2010
7081,GM0216,2011
7082,GM0216,2012
7083,GM0216,2013
7084,GM0216,2014
7085,GM0216,2015
7086,GM0216,2016
7087,GM0216,2017
7088,GM0216,2018
7089,GM0216,2019
7090,GM0216,2020
7091,GM0216,2021
7092,GM0148,2010
7093,GM0148,2011
7094,GM0148,2012
7095,GM0148,2013
7096,GM0148,2014
7097,GM0148,2015
7098,GM0148,2016
7099,GM0148,2017
7100,GM0148,2018
7101,GM0148,2019
7102,GM0148,2020
7103,GM0148,2021
7104,GM1891,2010
7105,GM1891,2011
7106,GM1891,2012
7107,GM1891,2013
7108,GM1891,2014
7109,GM1891,2015
7110,GM1891,2016
7111,GM1891,2017
7112,GM1891,2018
7113,GM1891,2019
7114,GM1891,2020
7115,GM1891,2021
7116,GM0503,2010
7117,GM0503,2011
7118,GM0503,2012
7119,GM0503,2013
7120,GM0503,2014
7121,GM0503,2015
7122,GM0503,2016
7123,GM0503,2017
7124,GM0503,2018
7125,GM0503,2019
7126,GM0503,2020
7127,GM0503,2021
7128,GM0010,2010
7129,GM0010,2011
